uri,name,iso_nn6_nc2_1,iso_nn6_nc2_2,se_nn6_nc2_1,se_nn6_nc2_2,km_nn6_nc2,iso_nn9_nc3_1,iso_nn9_nc3_2,iso_nn9_nc3_3,se_nn9_nc3_1,se_nn9_nc3_2,se_nn9_nc3_3,km_nn9_nc3
spotify:artist:7emRV8AluG3d4e5T0DZiK9,Loggins & Messina,0.432699678,-3.107608712,-0.011645879,0.000690228,4,-1.961492093,-2.956028735,-2.604143295,-0.011645879,0.000690228,-0.002700933,4
spotify:artist:7fIvjotigTGWqjIz6EP1i4,Four Tops,-0.00918149,0.236766272,0.010829536,-0.005571971,0,0.221578755,0.255560634,0.171025283,0.010829536,-0.005571971,-0.015949539,0
spotify:artist:7gAppWoH7pcYmphCVTXkzs,The Vamps,7.621513164,1.729418047,0.025771604,-0.024699464,0,-0.266229277,-0.067532277,-0.224694338,0.025771604,-0.024699464,0.037552085,0
spotify:artist:7gOdHgIoIKoe4i9Tta6qdD,Jonas Brothers,11.4569174,2.658045707,0.025810541,-0.024827691,0,-0.254772254,-0.063764086,-0.272372031,0.025810541,-0.024827691,0.037826939,0
spotify:artist:7gSjFKpVmDgC2MMsnN8CYq,Jazmine Sullivan,0.636976757,0.190416252,0.019777589,-0.006342048,5,-0.606445461,-0.624782003,0.831884469,0.019777589,-0.006342048,-0.000129553,5
spotify:artist:7gyVuJLsatWofXCAw1SGxM,Jonathan Edwards,-0.346339564,-0.983486213,-0.011667333,0.00069338,0,-0.436082587,-0.614643933,-0.596302311,-0.011667333,0.00069338,-0.002847672,0
spotify:artist:7ihLzUpuNecU5VBkvOUDNq,Damn Yankees,-1.507220032,-2.003742613,-0.012061899,0.000774911,7,-1.995775474,4.392908119,0.51181406,-0.012061899,0.000774911,-0.004254617,7
spotify:artist:7j9PMegEgVN1fNp8NZXNCI,The Edgar Winter Group,-1.095628955,-1.589891546,-0.011770081,0.000710314,4,-1.146463084,-1.134093862,-0.701920657,-0.011770081,0.000710314,-0.00357732,4
spotify:artist:7jM2XoJBKhdL8oNnDr4re9,The Ozark Mountain Daredevils,0.113005801,-2.049522006,-0.011691914,0.000697233,4,-1.304653765,-1.746694302,-1.34617109,-0.011691914,0.000697233,-0.00304613,4
spotify:artist:7jocoSCuCtpCxCI6IbP8ye,Digital Underground,-6.424838847,10.18518959,0.025256377,0.081990608,1,11.51824203,2.958187755,-4.217306572,0.025256377,0.081990608,0.007928957,1
spotify:artist:7kCL98rPFsNKjAHDmWrMac,Nik Kershaw,-1.516523129,-1.146164072,-0.010209232,0.000362318,0,-0.681815538,-0.580334922,-1.652465283,-0.010209232,0.000362318,-0.002954915,0
spotify:artist:7kFyhQTV7cbd3iSYW2yt1Q,Honeymoon Suite,-0.98665353,-0.897527194,-0.011789686,0.0007148,0,-0.539046208,0.737528363,-0.196644898,-0.011789686,0.0007148,-0.003845672,0
spotify:artist:7lQC1mHpO4lvLpN9XYZlIH,Toni Childs,0.469569552,-1.49943252,-0.013097808,0.001593913,0,-0.124264367,0.067108997,-0.107967938,-0.013097808,0.001593913,0.053324124,0
spotify:artist:7liFhc0PDIx8etigqd2WhW,Ruff Endz,1.089794902,0.188585289,0.018786983,-0.004262761,5,-0.240533888,-0.995112354,2.287677786,0.018786983,-0.004262761,-0.003313551,5
spotify:artist:7mldB9nEb6VC2cUj7EcgFw,Kid 'N Play,-2.993480015,4.543034098,0.025286975,0.082329753,1,5.020525511,1.202349391,-1.201611044,0.025286975,0.082329753,0.007975027,1
spotify:artist:7nU4hB040gTmHm45YYMvqc,Hannah Montana,11.4569174,2.658045707,0.025810541,-0.024827691,0,-0.254772254,-0.063764086,-0.272372031,0.025810541,-0.024827691,0.037826939,0
spotify:artist:7nkLRaWHImCvWGHdNGnhVE,Ten Years After,-0.491620277,-0.589828188,-0.011922202,0.000743665,0,0.039201244,0.128242923,-0.124510506,-0.011922202,0.000743665,-0.003671205,0
