,uri,iso_nn6_nc2_1,iso_nn6_nc2_2,se_nn6_nc2_1,se_nn6_nc2_2,km_nn6_nc2,iso_nn9_nc3_1,iso_nn9_nc3_2,iso_nn9_nc3_3,se_nn9_nc3_1,se_nn9_nc3_2,se_nn9_nc3_3,km_nn9_nc3,iso_n6_p1,iso_n6_p2
0,spotify:artist:021hNAnkFIbyFyL97br6NB,-1.4807591972096383,1.618372618677541,-0.01637946556335288,-0.015795334368885066,6,-1.5558613239270882,-1.633812159406354,0.5256851675502471,-0.0163794655633531,-0.01579533436888472,0.0476467384917646,6,-1.1120667251324448,-0.9968880373263295
1,spotify:artist:02rd0anEWfMtF7iMku9uor,-2.5372924258821663,2.994053764979933,-0.01611688048301381,-0.015088222281119988,6,-2.0345737783636757,-2.1277952956990753,0.29022749247569957,-0.016116880483014014,-0.015088222281119678,0.04310773011809303,6,-1.520465949148195,-1.455179508940438
2,spotify:artist:070kGpqtESdDsLb3gdMIyx,-1.7525228479311146,-2.4522102234600895,0.049947348547173226,0.008530220876621478,0,-0.6346485576475772,1.6961048581206226,0.24083587490560227,0.049947348547173344,0.008530220876621293,0.0021253499317529677,0,-0.6810300811700253,1.2112343228143727
3,spotify:artist:0BvkDsjIUla7X0k6CSWh1I,-2.6713768520516594,-3.4521176029646803,0.06070902432365773,0.01362619026999943,5,-1.732829601364375,3.1453956216825523,-1.6637261632982183,0.060709024323657795,0.013626190269999212,0.014093624289463745,5,-1.3061392697588694,1.6973628552126832
4,spotify:artist:0FcmRWJUfnCuwoXE1H2b0H,2.0824283495802614,0.7112733228404026,-0.013637645998178302,-0.006429092694946458,0,1.202562312404713,-0.34905469498702096,-1.331200087308053,-0.01363764599817817,-0.00642909269494654,-0.006553877132385716,0,0.7600894817865242,-0.5320568827218028
5,spotify:artist:0HLOP0AdsaWe5Pt5TNueGC,-6.040836984360784,7.532613104976009,-0.014475664911763195,-0.015113652975243903,2,-6.2366875623863605,-6.756185848516064,0.8793765616605488,-0.014475664911763287,-0.015113652975243655,0.03163390500727902,2,-3.891998663274075,-4.091617389497492
6,spotify:artist:0IdYRFTswLdsGwSnzOaGNF,-2.299815418249915,2.6575889170064557,-0.015703815234826262,-0.016153839115866552,6,-1.7611243913770434,-1.8558092379419222,0.5945430920562844,-0.015703815234826456,-0.016153839115866205,0.043237993267595747,6,-1.0898060765667095,-1.2470442045533423
7,spotify:artist:0KzlJXg6A3NVSCkRjecKnS,-0.12522496812891504,-0.04864855772203809,-0.02372559649383069,0.03731392874368977,0,-0.03805902229705347,-0.02942053811778614,-0.06325369759492062,-0.023725596493830492,0.037313928743689606,0.005114920913569453,0,-0.20285918154698307,0.18273140937540563
8,spotify:artist:0MMNJf1JrxeSFE2pcpX50b,-0.7634742682017477,1.7296515234709267,-0.02036673959218265,0.01458929566324818,0,-0.7521863478781837,-0.5703784840243918,-0.5942472112417079,-0.020366739592182555,0.014589295663248385,0.020298540992348173,0,-0.54314300269267,-0.40636610941361284
9,spotify:artist:0OraDGrDGEuqJ2d7250K1i,1.014465091125623,0.6241037714601024,-0.014594522495011822,0.0009524441834806157,0,0.7693108594578387,-0.23190721698482705,-0.6869161162137807,-0.014594522495011666,0.0009524441834803966,-0.017467362820938692,0,0.26581271553744734,-0.17240302023404716
10,spotify:artist:0RKP52f5PNDCRZ9Luq2Sr7,-0.8477263798386296,-0.8584573246460336,0.025930461243562426,-0.002398996603860755,0,-0.6443819425020262,1.0750700260544366,1.0581256427603485,0.025930461243562596,-0.002398996603861041,-0.020673057736929793,0,-0.10676060205779972,0.9147437719645402
