All Time Low,69,2837333,spotify:artist:46gyXjRIvN1NL1eCB8GBxo
All-4-One,56,651864,spotify:artist:1B8ySGDAiXTCvnJNH4HSCG
Allman Brothers Band,63,1368075,spotify:artist:4wQ3PyMz3WwJGI5uEqHUVR
alt-J,70,3058636,spotify:artist:3XHO7cRUPCLOr6jwp8vsx5
Alvin & The Chipmunks,49,169761,spotify:artist:1SCWcYnoEh1978ycTDhZoW
America,66,1448851,spotify:artist:35U9lQaRWSQISxQAB94Meo
American Idol's Soundtrack,1,979,spotify:artist:4OpfIHMxXIbZBT8tL0PMUE
Amerie,55,821930,spotify:artist:08rMCq2ek1YjdDBsCPVH2s
Amy Grant,54,192021,spotify:artist:72Nhcx7prNk2ZCxhx0Y5es
Amy Winehouse,75,8069241,spotify:artist:6Q192DXotxtaysaqNPy5yR
Andrea Bocelli,68,2229805,spotify:artist:3EA9hVIzKfFiQI0Kikz2wo
Andreas Vollenweider,46,81162,spotify:artist:7MynOMOTsGz8NFcPUImWAp
Andrew Lloyd Webber,62,256183,spotify:artist:4aP1lp10BRYZO658B2NwkG
Andy Gibb,56,587842,spotify:artist:4YPqbAiLzBg5DIfsgQZ8QK
Andy Griffith,32,8164,spotify:artist:7hEbJvh3BAedDS2vVJvx0B
Andy Williams,59,446581,spotify:artist:4sj6D0zlMOl25nprDJBiU9
Angie Stone,53,593002,spotify:artist:2hWr3AjjKOCVmWcwvuT4uM
Anita Baker,55,1074274,spotify:artist:46CH1Gp8l8QVly8bpG9JFG
Anne Murray,58,577184,spotify:artist:7d7q5Y1p2QWS4QRAhTQR5E
Anne-Marie,78,10056805,spotify:artist:1zNqDE7qDGCsyzJwohVaoX
Annie Lennox,70,1262949,spotify:artist:5MspMQqdVbdwP6ax3GXqum
Another Bad Creation,29,66573,spotify:artist:454VBUMshEg0sxzoWKTYbT
Anthony Hamilton,59,1404452,spotify:artist:2DzRMyWgjuMbYvt5BLbpCo
Anthrax,58,1388236,spotify:artist:3JysSUOyfVs1UQ0UaESheP
April Wine,54,326791,spotify:artist:1JHzh1ETQTMoFb2CgncnTL
Aqua,62,460959,spotify:artist:6kBjAFKyd0he7LiA5GQ3Gz
Arcade Fire,67,2130388,spotify:artist:3kjuyTCjPG1WMFCiyc5IuB
Arctic Monkeys,87,16228970,spotify:artist:7Ln80lUS6He07XvHI8qqHH
Aretha Franklin,69,2977459,spotify:artist:7nwUJBm0HE4ZxD3f5cy5ok
Ariana Grande,88,83734201,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR
Arlo Guthrie,45,130420,spotify:artist:0B6QEFtRnneEzb4iqjI0Nw
Arrested Development,51,237495,spotify:artist:5Va9LuEmaZxnbk1gMnjMD7
Art Garfunkel,50,484402,spotify:artist:6kEsKkXuE4olX7m3mNLZkS
Ashanti,71,2529349,spotify:artist:5rkVyNGXEgeUqKkB5ccK83
Ashford & Simpson,45,404836,spotify:artist:2EURsXo9qlt1aMWlviGCRi
Ashlee Simpson,50,874329,spotify:artist:4hqDqHtBlgxXpLXVYf7c8L
Asia,56,506702,spotify:artist:1bdytLV3FPjyhfrb6BhMej
Atlanta Rhythm Section,49,238374,spotify:artist:0WgyCbru4tXnMsbTmX4mFw
Atlantic Starr,51,600942,spotify:artist:2YdVmtVBpIrv0N6WiBzSqm
Atreyu,60,820637,spotify:artist:3LkSiHbjqOHCKCqBfEZOTv
Audioslave,68,3885377,spotify:artist:2ziB7fzrXBoh1HUPS6sVFn
August Alsina,62,2402480,spotify:artist:19Fi1Rj7kk8kyiwxpXy3yM
Ava Max,80,5654197,spotify:artist:4npEfmQ6YuiwW1GpUmaq3F
Avalon,37,90528,spotify:artist:4rulVipLmUL2Mg67SIUmCO
Avant,56,1272073,spotify:artist:0AunegKKH2ys98aLxq8G1A
Avenged Sevenfold,74,5679499,spotify:artist:0nmQIMXWTXfhgOBdNzhGOs
Average White Band,50,377790,spotify:artist:3tx8fyu3c4OBP5nejYtUOb
Avicii,80,22119179,spotify:artist:1vCWHaC5f2uS3yhpwWbIA6
Avril Lavigne,76,9166275,spotify:artist:0p4nmQO2msCgU4IF37Wi3j
AWOLNATION,62,2064822,spotify:artist:4njdEjTnLfcGImKZu1iSrz
Az Yet,44,244774,spotify:artist:4UGMQyNcbGHYg5CDMKkSw3
B*Witched,49,196672,spotify:artist:72eP0W3rIhkxd0NHGg4w4u
B.B. King,62,2461315,spotify:artist:5xLSa7l4IV1gsQfhAMvl0U
B.G.,44,572243,spotify:artist:36HvjE9pV91jEjO1qBRidS
B.o.B,72,2003457,spotify:artist:5ndkK3dpZLKtBklKjxNQwT
B2K,53,711857,spotify:artist:51d3rUlLuMh7EW09aMe7yj
Babyface Ray,63,132180,spotify:artist:3zZ88AwlTwfCJkowsFCvLA
