Artist,Certified Units,Gold,Platinum,Multi-Platinum,Diamond,Standard
"HANK WILLIAMS, JR.",19.5,23,8,1,0,All types
NORAH JONES,19.5,5,4,3,1,All types
SMASHING PUMPKINS,19.5,9,6,2,1,Standard
STEVIE WONDER,19.5,12,7,2,1,All types
TONI BRAXTON,19.5,6,3,3,0,Standard
MATCHBOX TWENTY,19,5,3,3,1,All types
CAROLE KING,18.5,8,3,1,1,Standard
JACKSON BROWNE,18.5,11,8,3,0,Standard
JANIS JOPLIN,18.5,8,5,3,0,All types
JEWEL,18.5,5,4,2,1,Standard
RASCAL FLATTS,18.5,8,7,5,0,All types
SARAH MC LACHLAN,18.5,8,5,4,0,All types
CHRIS BROWN,18,10,8,5,0,All types
"CROSBY, STILLS, NASH & YOUNG",18,4,4,3,0,Standard
DESTINY'S CHILD,18,6,6,3,0,All types
P!NK,18,8,8,5,0,All types
RANDY TRAVIS,18,12,8,4,0,All types
STING,18,11,9,5,0,Standard
THE MONKEES,18,9,7,4,0,Standard
JOHN MAYER,17.5,9,6,4,0,All types
NEIL YOUNG,17.5,18,7,3,0,Standard
STONE TEMPLE PILOTS,17.5,5,4,3,0,Standard
STYX,17.5,13,6,5,0,Standard
AMY GRANT,17,13,7,3,0,Standard
BONNIE RAITT,17,9,3,3,0,Standard
BRYAN ADAMS,17,6,6,3,0,Standard
KATY PERRY,17,3,3,3,0,All types
LADY GAGA,17,5,5,3,0,All types
CHRISTINA AGUILERA,16.5,7,4,3,0,All types
JOHNNY MATHIS,16.5,15,6,2,0,Standard
KORN,16.5,9,8,4,0,All types
LEANN RIMES,16.5,9,6,3,0,All types
LIMP BIZKIT,16.5,5,4,3,0,All types
NEW KIDS ON THE BLOCK,16.5,5,4,4,0,Standard
ANDREA BOCELLI,16,14,10,3,0,All types
BRUNO MARS,16,3,3,3,0,All types
HAMMER,16,4,4,3,1,Standard
"HARRY CONNICK, JR.",16,13,9,4,0,Standard
MARTINA MCBRIDE,16,10,8,4,0,All types
PRINCE & THE REVOLUTION,16,3,3,2,1,Standard
SHERYL CROW,16,6,6,3,0,All types
50 CENT,15.5,3,2,2,0,All types
BAD COMPANY,15.5,9,6,4,0,Standard
CAT STEVENS,15.5,12,5,3,0,Standard
DIRE STRAITS,15.5,8,5,2,0,Standard
GLORIA ESTEFAN,15.5,10,7,4,0,All types
ISLEY BROTHERS,15.5,15,10,3,0,All types
KANSAS,15.5,9,4,3,0,All types
PAUL MC CARTNEY,15.5,16,7,4,0,Standard
ALICE IN CHAINS,15,8,6,4,0,All types
BLACK SABBATH,15,12,8,3,0,Standard
GEORGE MICHAEL,15,4,4,3,1,Standard
INXS,15,9,7,3,0,All types
NO DOUBT,15,4,4,3,1,All types
ANNE MURRAY,14.5,15,6,2,0,Standard
COLDPLAY,14.5,8,7,4,0,All types
KEITH URBAN,14.5,10,9,2,0,All types
MICHAEL BUBLE,14.5,7,6,3,0,All types
PATSY CLINE,14.5,6,5,1,1,Standard
POISON,14.5,7,4,4,0,Standard
THE CRANBERRIES,14.5,4,3,3,0,Standard
DAN FOGELBERG,14,9,7,5,0,Standard
DMX,14,5,5,3,0,All types
ED SHEERAN,14,4,4,3,0,All types
JOHN MICHAEL MONTGOMERY,14,7,5,3,0,Standard
OFFSPRING,14,6,4,2,0,Standard
POST MALONE,14,3,3,3,0,All types
TED NUGENT,14,8,6,5,0,Standard
CHARLIE DANIELS BAND,13.5,9,6,3,0,All types
NATALIE COLE,13.5,11,4,1,0,Standard
PAUL SIMON,13.5,11,6,2,0,Standard
THE WEEKND,13.5,5,4,4,0,All types
YES,13.5,13,8,2,0,Standard
3 DOORS DOWN,13,5,3,2,0,All types
AVRIL LAVIGNE,13,5,3,3,0,All types
BLAKE SHELTON,13,13,7,2,0,All types
HALL & OATES,13,13,7,3,0,Standard
HUEY LEWIS & THE NEWS,13,6,4,2,0,Standard
JASON ALDEAN,13,9,7,3,0,All types
KEITH SWEAT,13,8,6,3,0,Standard
LUKE BRYAN,13,8,4,3,0,All types
MAROON 5,13,8,6,3,0,All types
MELISSA ETHERIDGE,13,7,5,3,0,All types
TRACY CHAPMAN,13,5,3,2,0,Standard
ANITA BAKER,12.5,6,5,3,0,Standard
CHER,12.5,9,4,3,0,Standard
CLINT BLACK,12.5,8,7,3,0,All types
KELLY CLARKSON,12.5,8,5,2,0,All types
L.L. COOL J,12.5,12,7,3,0,All types
NAS,12.5,10,7,3,0,All types
PAT BENATAR,12.5,10,7,2,0,Standard
SNOOP DOGG,12.5,8,7,3,0,All types
THE TEMPTATIONS,12.5,17,6,1,0,Standard
TOOL,12.5,6,5,4,0,Standard
TRISHA YEARWOOD,12.5,11,6,2,0,Standard
WHITESNAKE,12.5,5,4,2,0,Standard
ANDREW LLOYD WEBBER,12,6,6,2,0,Standard
BETTE MIDLER,12,10,6,3,0,Standard
COUNTING CROWS,12,6,4,2,0,All types
DURAN DURAN,12,10,8,3,0,Standard
IMAGINE DRAGONS,12,4,4,2,0,All types
LIVE,12,4,4,2,0,Standard
LUDACRIS,12,7,5,4,0,All types
NAT KING COLE,12,8,6,1,0,Standard
ONE DIRECTION,12,5,5,4,0,All types
TRAVIS TRITT,12,7,7,4,0,Standard
WILL SMITH,12,4,2,2,0,All types
BONE THUGS 'N HARMONY,11.5,6,5,2,0,All types
DISTURBED,11.5,6,5,3,0,All types
DON HENLEY,11.5,5,4,2,0,Standard
DWIGHT YOAKAM,11.5,10,7,2,0,Standard
ELECTRIC LIGHT ORCHESTRA,11.5,11,4,2,0,All types
GEORGE HARRISON,11.5,9,2,1,0,All types
PAULA ABDUL,11.5,4,3,2,0,Standard
S.R. VAUGHAN & DOUBLE TROUBLE,11.5,7,6,5,0,Standard
BARRY WHITE,11,12,6,2,0,Standard
GRAND FUNK RAILROAD,11,12,6,2,0,All types
