Artist,Certified Units,Gold,Platinum,Multi-Platinum,Diamond,Standard
ANNIE LENNOX,4.5,3,2,2,0,Standard
ARRESTED DEVELOPMENT,4.5,2,1,1,0,Standard
AUDIOSLAVE,4.5,3,2,1,0,All types
BIG & RICH,4.5,3,2,1,0,All types
BIG SEAN,4.5,4,3,1,0,All types
BRUCE HORNSBY & THE RANGE,4.5,3,2,1,0,Standard
CANDLEBOX,4.5,2,1,1,0,Standard
CHARLOTTE CHURCH,4.5,4,3,1,0,Standard
CHRIS YOUNG,4.5,6,3,0,0,All types
CONWAY TWITTY,4.5,8,1,0,0,All types
CREAM,4.5,7,2,0,0,Standard
DIANA ROSS,4.5,7,2,0,0,Standard
ELLIE GOULDING,4.5,4,3,1,0,All types
FIONA APPLE,4.5,3,2,1,0,All types
FLORIDA GEORGIA LINE,4.5,4,3,1,0,All types
GOOD CHARLOTTE,4.5,3,2,1,0,All types
HANK WILLIAMS,4.5,5,4,0,0,Standard
IRON BUTTERFLY,4.5,2,1,1,0,Standard
JEFF BECK,4.5,7,2,0,0,Standard
JEFFERSON AIRPLANE,4.5,7,2,0,0,All types
JO DEE MESSINA,4.5,5,2,1,0,All types
JOSH TURNER,4.5,5,2,1,0,All types
KEVIN GATES,4.5,5,2,1,0,All types
KIDZ BOP KIDS,4.5,9,0,0,0,All types
LAKE EMERSON & PALMER,4.5,9,0,0,0,Standard
LIL UZI VERT,4.5,4,3,1,0,All types
LIL' JON & THE EASTSIDE BOYZ,4.5,3,2,2,0,All types
LOGIC,4.5,6,3,0,0,All types
LUIS MIGUEL,4.5,6,3,0,0,All types
MARILYN MANSON,4.5,6,3,0,0,All types
MARK CHESNUTT,4.5,5,4,0,0,All types
MAZE FEAT. FRANKIE BEVERLY,4.5,9,0,0,0,Standard
MOLLY HATCHET,4.5,4,3,1,0,Standard
P.O.D.,4.5,3,2,1,0,Standard
PAPA ROACH,4.5,3,2,1,0,All types
PARLIAMENT,4.5,7,2,0,0,Standard
POINT OF GRACE,4.5,7,2,0,0,Standard
PUBLIC ENEMY,4.5,6,3,0,0,Standard
RAFFI,4.5,7,2,0,0,Standard
RICK SPRINGFIELD,4.5,5,4,0,0,Standard
ROY ORBISON,4.5,7,2,0,0,Standard
SAMMY KERSHAW,4.5,6,3,0,0,Standard
SCARFACE,4.5,6,3,0,0,Standard
STEPPENWOLF,4.5,8,1,0,0,Standard
SWV,4.5,3,2,1,0,All types
TAYLOR DAYNE,4.5,3,2,2,0,Standard
THE CHAINSMOKERS,4.5,5,2,1,0,All types
THE KILLERS,4.5,3,2,1,0,All types
THE MARSHALL TUCKER BAND,4.5,7,2,0,0,Standard
THE TRAVELING WILBURYS,4.5,3,2,1,0,Standard
THE WALLFLOWERS,4.5,2,1,1,0,Standard
THIRTY-EIGHT SPECIAL (.38),4.5,5,4,0,0,Standard
THOMAS RHETT,4.5,4,3,1,0,All types
TONY! TONI! TONE!,4.5,4,3,1,0,Standard
TREY SONGZ,4.5,6,3,0,0,All types
WARRANT,4.5,3,2,2,0,Standard
WHITE ZOMBIE,4.5,3,2,2,0,Standard
WIZ KHALIFA,4.5,4,3,1,0,All types
AARON CARTER,4,2,2,1,0,Standard
ASHLEE SIMPSON,4,2,2,1,0,All types
BARBRA STREISAND & KRIS KRISTOFFERSON,4,1,1,1,0,Standard
BARNEY,4,2,2,1,0,Standard
BLIND MELON,4,1,1,1,0,Standard
BLUE OYSTER CULT,4,6,2,0,0,Standard
BREAKING BENJAMIN,4,5,3,0,0,All types
BROTHERS JOHNSON,4,4,4,0,0,Standard
CAKE,4,3,3,1,0,All types
CHRIS ISAAK,4,4,2,1,0,Standard
CIARA,4,2,2,1,0,All types
CRYSTAL GAYLE,4,6,2,0,0,Standard
DEMI LOVATO,4,6,2,0,0,All types
DIO,4,4,2,1,0,Standard
DIONNE WARWICK,4,7,1,0,0,Standard
EMMYLOU HARRIS,4,8,0,0,0,Standard
EUROPE,4,2,2,1,0,Standard
EVERCLEAR,4,3,3,1,0,Standard
G-EAZY,4,3,3,1,0,All types
GAP BAND,4,5,3,0,0,Standard
GREAT WHITE,4,4,2,1,0,Standard
GUCCI MANE,4,7,1,0,0,All types
HARRY CHAPIN,4,4,2,1,0,Standard
IL DIVO,4,5,3,0,0,Standard
JAGGED EDGE,4,4,2,1,0,All types
JANE'S ADDICTION,4,4,2,1,0,Standard
JARS OF CLAY,4,4,2,1,0,Standard
JOHN FOGERTY,4,5,1,1,0,Standard
JOHN WILLIAMS,4,7,1,0,0,Standard
JON SECADA,4,2,2,1,0,Standard
JUDY COLLINS,4,6,2,0,0,Standard
KODAK BLACK,4,5,3,0,0,All types
LIL' KIM,4,3,3,1,0,Standard
LITTLE TEXAS,4,4,2,1,0,Standard
MAKAVELI,4,1,1,1,0,Standard
MANA,4,6,2,0,0,All types
MEGHAN TRAINOR,4,2,2,1,0,All types
MONTGOMERY GENTRY,4,5,3,0,0,All types
MORGAN WALLEN,4,2,2,2,0,All types
NE-YO,4,3,3,1,0,All types
PAM TILLIS,4,5,3,0,0,Standard
PENTATONIX,4,4,2,1,0,All types
POLO G,4,3,3,1,0,All types
RICHARD PRYOR,4,6,2,0,0,Standard
RIGHTEOUS BROTHERS,4,5,1,1,0,Standard
ROBERT PALMER,4,3,3,1,0,Standard
SAM HUNT,4,2,2,1,0,All types
SKILLET,4,4,2,1,0,All types
THE LUMINEERS,4,2,2,1,0,All types
THE PRETENDERS,4,6,2,0,0,Standard
TRACY BYRD,4,5,1,1,0,Standard
TWISTED SISTER,4,3,1,1,0,All types
VILLAGE PEOPLE,4,5,3,0,0,Standard
WARREN G,4,3,1,1,0,Standard
8 BALL & MJG,3.5,4,1,1,0,Standard
A$AP ROCKY,3.5,3,2,1,0,All types
AARON NEVILLE,3.5,4,3,0,0,Standard
AARON TIPPIN,3.5,6,1,0,0,Standard
B.O.B.,3.5,3,2,1,0,All types
BACHMAN-TURNER OVERDRIVE,3.5,6,1,0,0,Standard
BRYSON TILLER,3.5,2,1,1,0,All types
BTS,3.5,4,3,0,0,All types
CHEVELLE,3.5,3,2,1,0,All types
CHINGY,3.5,3,2,1,0,All types
CHIPMUNKS,3.5,5,2,0,0,Standard
CHUCK MANGIONE,3.5,4,1,1,0,Standard
CLAY AIKEN,3.5,3,2,1,0,All types
COLOR ME BADD,3.5,2,1,1,0,Standard
COOLIO,3.5,3,2,1,0,Standard
DANE COOK,3.5,3,2,1,0,Standard
DAVID LEE ROTH,3.5,4,3,0,0,Standard
DAVID SANBORN,3.5,7,0,0,0,Standard
DOKKEN,3.5,4,3,0,0,Standard
DOUG STONE,3.5,5,2,0,0,Standard
DRU HILL,3.5,3,2,1,0,Standard
EDDIE MURPHY,3.5,3,2,1,0,Standard
ELVIS COSTELLO,3.5,5,2,0,0,Standard
EVE,3.5,3,2,1,0,Standard
FABOLOUS,3.5,5,2,0,0,All types
FIFTH DIMENSION,3.5,7,0,0,0,Standard
FLORENCE & THE MACHINE,3.5,3,2,1,0,All types
FRED HAMMOND,3.5,4,1,1,0,All types
GERALD LEVERT,3.5,4,3,0,0,Standard
GLADYS KNIGHT & THE PIPS,3.5,7,0,0,0,Standard
GLEE CAST,3.5,5,2,0,0,All types
GLENN MILLER ORCHESTRA,3.5,6,1,0,0,Standard
HEAVY D & THE BOYZ,3.5,4,3,0,0,Standard
HINDER,3.5,2,1,1,0,All types
HOOBASTANK,3.5,3,2,1,0,All types
HOZIER,3.5,2,1,1,0,All types
INDIA.ARIE,3.5,3,2,1,0,Standard
INSANE CLOWN POSSE,3.5,5,2,0,0,All types
J. GEILS BAND,3.5,6,1,0,0,Standard
JAMES BLUNT,3.5,2,1,1,0,All types
JILL SCOTT,3.5,4,1,1,0,Standard
JOHN ANDERSON,3.5,4,1,1,0,Standard
JOHN LENNON & YOKO ONO,3.5,2,1,1,0,Standard
K.D. LANG,3.5,4,1,1,0,Standard
KATHY MATTEA,3.5,6,1,0,0,Standard
KID CUDI,3.5,3,2,1,0,All types
KINGSTON TRIO,3.5,7,0,0,0,Standard
LEE GREENWOOD,3.5,5,2,0,0,All types
LITTLE BIG TOWN,3.5,4,3,0,0,All types
LORDE,3.5,2,1,1,0,All types
LOS TEMERARIOS,3.5,5,2,0,0,All types
LOU RAWLS,3.5,5,2,0,0,Standard
MAC DAVIS,3.5,5,2,0,0,Standard
MACY GRAY,3.5,2,1,1,0,Standard
MANTOVANI,3.5,7,0,0,0,Standard
MARTY ROBBINS,3.5,6,1,0,0,Standard
MUSE,3.5,4,3,0,0,All types
NEAL MC COY,3.5,4,3,0,0,Standard
NELLY FURTADO,3.5,3,2,1,0,All types
PATTI LABELLE,3.5,6,1,0,0,Standard
PRESIDENTS OF THE UNITED STATES OF AMERICA,3.5,2,1,1,0,Standard
PUDDLE OF MUDD,3.5,2,1,1,0,Standard
RAY STEVENS,3.5,5,2,0,0,Standard
SAMMY HAGAR,3.5,5,2,0,0,Standard
SEETHER,3.5,4,3,0,0,All types
SILK,3.5,3,2,1,0,Standard
STEVE MARTIN,3.5,3,2,1,0,Standard
TERRI CLARK,3.5,4,3,0,0,Standard
THE ALL-AMERICAN REJECTS,3.5,3,2,1,0,All types
THE DEFTONES,3.5,4,3,0,0,Standard
THE WHISPERS,3.5,5,2,0,0,Standard
"TYLER, THE CREATOR",3.5,5,2,0,0,All types
2 LIVE CREW,3,5,1,0,0,Standard
AQUA,3,1,1,1,0,Standard
AVERAGE WHITE BAND,3,5,1,0,0,Standard
BAHA MEN,3,1,1,1,0,Standard
BILLY GILMAN,3,3,1,1,0,Standard
BLUES BROTHERS,3,2,2,1,0,Standard
CALVIN HARRIS,3,3,3,0,0,All types
CAPTAIN & TENNILLE,3,5,1,0,0,Standard
CARDI B,3,1,1,1,0,All types
CHEETAH GIRLS,3,2,2,1,0,Standard
CHUMBAWAMBA,3,1,1,1,0,Standard
CONFEDERATE RAILROAD,3,2,2,1,0,Standard
D12,3,2,2,1,0,All types
DABABY,3,3,3,0,0,All types
DAN + SHAY,3,4,2,0,0,All types
DAVE MATTHEWS & TIM REYNOLDS,3,1,1,1,0,Standard
DONNIE MC CLURKIN,3,4,2,0,0,Standard
EAZY-E,3,3,1,1,0,Standard
EDDY ARNOLD,3,3,1,1,0,Standard
ERNIE FORD,3,4,2,0,0,Standard
EXPOSE,3,3,1,1,0,Standard
FAITH EVANS,3,4,2,0,0,Standard
FREDDIE JACKSON,3,4,2,0,0,Standard
FUEL,3,2,2,1,0,Standard
FUN.,3,1,1,1,0,All types
GARBAGE,3,2,2,1,0,Standard
GORILLAZ,3,2,2,1,0,All types
GUY,3,2,2,1,0,Standard
HARRY BELAFONTE,3,6,0,0,0,Standard
HENRY MANCINI,3,6,0,0,0,All types
ICE-T,3,5,1,0,0,Standard
ISAAC HAYES,3,6,0,0,0,Standard
JAHEIM,3,4,2,0,0,Standard
JAMIE FOXX,3,2,2,1,0,All types
JASON DERULO,3,4,2,0,0,All types
JHENE AIKO,3,4,2,0,0,All types
JOAN BAEZ,3,6,0,0,0,Standard
JOAN OSBORNE,3,1,1,1,0,Standard
JOE DIFFIE,3,4,2,0,0,Standard
JOHN BARRY,3,4,2,0,0,Standard
JOHN CAFFERTY & BEAVER BROWN,3,1,1,1,0,Standard
JOHNNY GILL,3,3,1,1,0,Standard
JONAS BROTHERS,3,3,3,0,0,All types
KANE BROWN,3,2,2,1,0,All types
KEYSHIA COLE,3,3,3,0,0,All types
LEE BRICE,3,5,1,0,0,All types
LIFEHOUSE,3,3,1,1,0,All types
LITTLE FEAT,3,5,1,0,0,Standard
LOREENA MC KENNITT,3,3,1,1,0,Standard
LOU BEGA,3,1,1,1,0,Standard
LYLE LOVETT,3,6,0,0,0,Standard
MAC MILLER,3,5,1,0,0,All types
MARIO LANZA,3,3,1,1,0,Standard
MARY MARY,3,3,1,1,0,All types
MEEK MILL,3,4,2,0,0,All types
MICHAEL MC DONALD,3,5,1,0,0,Standard
MICHELLE BRANCH,3,2,2,1,0,Standard
MIDNIGHT STAR,3,3,1,1,0,Standard
MIGOS,3,2,2,1,0,All types
MOBB DEEP,3,4,2,0,0,Standard
MUSIQ,3,4,2,0,0,Standard
NAUGHTY BY NATURE,3,4,2,0,0,Standard
NEWSBOYS,3,6,0,0,0,All types
NIGHT RANGER,3,4,2,0,0,Standard
NITTY GRITTY DIRT BAND,3,4,2,0,0,All types
OLIVIA RODRIGO,3,1,1,1,0,All types
PARTRIDGE FAMILY,3,6,0,0,0,Standard
PET SHOP BOYS,3,5,1,0,0,Standard
PRINCE & THE NEW POWER GENERATION,3,2,2,1,0,Standard
REDMAN,3,5,1,0,0,Standard
RICKY SKAGGS,3,5,1,0,0,Standard
ROBERT CRAY,3,3,1,1,0,Standard
ROD WAVE,3,3,3,0,0,All types
RODNEY ATKINS,3,3,1,1,0,All types
ROGER WILLIAMS,3,6,0,0,0,Standard
SARA BAREILLES,3,3,1,1,0,All types
SARAH BRIGHTMAN,3,5,1,0,0,Standard
SEAN PAUL,3,2,2,1,0,All types
SHAUN CASSIDY,3,3,3,0,0,Standard
SHEENA EASTON,3,5,1,0,0,Standard
SILVERCHAIR,3,3,1,1,0,Standard
SIMPLE PLAN,3,2,2,1,0,All types
SOUL ASYLUM,3,2,2,1,0,All types
STEPHANIE MILLS,3,6,0,0,0,Standard
STEVIE RAY VAUGHAN,3,5,1,0,0,Standard
SWITCHFOOT,3,3,1,1,0,All types
SZA,3,1,1,1,0,All types
T-PAIN,3,3,1,1,0,All types
TEVIN CAMPBELL,3,2,2,1,0,Standard
THE ASSOCIATION,3,3,1,1,0,Standard
THE BAND,3,5,1,0,0,Standard
THREE 6 MAFIA,3,4,2,0,0,All types
TOBYMAC,3,6,0,0,0,All types
TRICK DADDY,3,5,1,0,0,All types
TRIUMPH,3,5,1,0,0,Standard
UB-40,3,3,3,0,0,Standard
USA FOR AFRICA,3,1,1,1,0,Standard
WYCLEF JEAN,3,2,2,1,0,All types
XSCAPE,3,3,3,0,0,Standard
5 SECONDS OF SUMMER,2.5,3,2,0,0,All types
A PERFECT CIRCLE,2.5,3,2,0,0,Standard
AL B. SURE!,2.5,2,1,1,0,Standard
ALDO NOVA,2.5,2,1,1,0,Standard
ANDREAS VOLLENWEIDER,2.5,4,1,0,0,Standard
ANDY GIBB,2.5,3,2,0,0,Standard
ANTHRAX,2.5,5,0,0,0,Standard
BASIA,2.5,3,2,0,0,Standard
BAY CITY ROLLERS,2.5,5,0,0,0,Standard
BEN HARPER,2.5,5,0,0,0,All types
BIG TYMERS,2.5,3,2,0,0,Standard
BILLY CURRINGTON,2.5,4,1,0,0,All types
BJORK,2.5,3,2,0,0,Standard
BLACKHAWK,2.5,2,1,1,0,Standard
BON IVER,2.5,3,2,0,0,All types
BRANTLEY GILBERT,2.5,3,2,0,0,All types
BRYAN WHITE,2.5,3,2,0,0,Standard
BUCKCHERRY,2.5,2,1,1,0,All types
CECE WINANS,2.5,4,1,0,0,Standard
CELTIC WOMAN,2.5,3,2,0,0,Standard
CHAKA KHAN,2.5,4,1,0,0,Standard
CHARLIE PUTH,2.5,2,1,1,0,All types
CHIC,2.5,3,2,0,0,Standard
COLBIE CAILLAT,2.5,2,1,1,0,All types
CONJUNTO PRIMAVERA,2.5,4,1,0,0,All types
DA BRAT,2.5,3,2,0,0,Standard
DAMN YANKEES,2.5,2,1,1,0,Standard
DARIUS RUCKER,2.5,3,2,0,0,All types
DAVE BRUBECK,2.5,2,1,1,0,Standard
DAVE MASON,2.5,4,1,0,0,Standard
DAVID ALLAN COE,2.5,4,1,0,0,Standard
DJ QUIK,2.5,4,1,0,0,Standard
DOJA CAT,2.5,3,2,0,0,All types
DONNY OSMOND,2.5,5,0,0,0,All types
E-40,2.5,4,1,0,0,All types
EPMD,2.5,5,0,0,0,Standard
EVERLAST,2.5,2,1,1,0,Standard
EXTREME II,2.5,2,1,1,0,Standard
FAT BOYS,2.5,4,1,0,0,Standard
FIREFALL,2.5,3,2,0,0,Standard
FIREHOUSE,2.5,2,1,1,0,Standard
FOXY BROWN,2.5,3,2,0,0,Standard
FRENCH MONTANA,2.5,3,2,0,0,All types
GIPSY KINGS,2.5,3,2,0,0,Standard
GO GO'S,2.5,2,1,1,0,Standard
HEATWAVE,2.5,3,2,0,0,Standard
HERBIE HANCOCK,2.5,3,2,0,0,Standard
HERMAN'S HERMITS,2.5,5,0,0,0,Standard
JANE FONDA,2.5,2,1,1,0,Standard
JEREMIH,2.5,3,2,0,0,All types
JIM CROCE,2.5,4,1,0,0,Standard
JIM REEVES,2.5,4,1,0,0,Standard
JOAN JETT & THE BLACKHEARTS,2.5,3,2,0,0,Standard
JOE SATRIANI,2.5,4,1,0,0,Standard
JOHN COLTRANE,2.5,4,1,0,0,Standard
JUSTIN MOORE,2.5,3,2,0,0,All types
K.T. OSLIN,2.5,3,2,0,0,Standard
KEITH WHITLEY,2.5,4,1,0,0,Standard
KENNY WAYNE SHEPHERD,2.5,3,2,0,0,Standard
KENTUCKY HEADHUNTERS,2.5,2,1,1,0,Standard
KINGS OF LEON,2.5,2,1,1,0,All types
LARRY THE CABLE GUY,2.5,3,2,0,0,Standard
LEON RUSSELL,2.5,5,0,0,0,Standard
LIL DURK,2.5,4,1,0,0,All types
LIVING COLOUR,2.5,2,1,1,0,Standard
LOUIS ARMSTRONG,2.5,4,1,0,0,All types
MACHINE GUN KELLY,2.5,4,1,0,0,All types
MARCO ANTONIO SOLIS,2.5,4,1,0,0,All types
MELANIE MARTINEZ,2.5,2,1,1,0,All types
METHOD MAN,2.5,3,2,0,0,Standard
MIGUEL,2.5,3,2,0,0,All types
MINDY MC CREADY,2.5,2,1,1,0,Standard
MOBY,2.5,2,1,1,0,Standard
MONTELL JORDAN,2.5,4,1,0,0,Standard
MYA,2.5,3,2,0,0,Standard
NEXT,2.5,2,1,1,0,Standard
NF,2.5,3,2,0,0,All types
OTIS REDDING,2.5,2,1,1,0,All types
OTTMAR LIEBERT,2.5,4,1,0,0,All types
POP SMOKE,2.5,2,1,1,0,All types
PRIMUS,2.5,3,2,0,0,Standard
RAE SREMMURD,2.5,3,2,0,0,All types
RASCALS,2.5,5,0,0,0,Standard
RICK ASTLEY,2.5,2,1,1,0,All types
RICK JAMES,2.5,4,1,0,0,All types
RICK ROSS,2.5,4,1,0,0,All types
RISE AGAINST,2.5,3,2,0,0,All types
ROB THOMAS,2.5,2,1,1,0,All types
RODDY RICCH,2.5,2,1,1,0,All types
RUSS,2.5,2,1,1,0,All types
SINEAD O'CONNOR,2.5,2,1,1,0,Standard
SIR MIX-A-LOT,2.5,3,2,0,0,All types
SLAUGHTER,2.5,2,1,1,0,Standard
SOUL II SOUL,2.5,2,1,1,0,Standard
SPINNERS,2.5,5,0,0,0,Standard
STEVE PERRY,2.5,2,1,1,0,Standard
SUZY BOGGUSS,2.5,4,1,0,0,Standard
THE CULT,2.5,3,2,0,0,Standard
THE HOOTERS,2.5,2,1,1,0,Standard
THE JERKY BOYS,2.5,3,2,0,0,Standard
THE KNACK,2.5,2,1,1,0,Standard
THE OUTFIELD,2.5,2,1,1,0,Standard
THE STROKES,2.5,3,2,0,0,All types
THE TIME,2.5,4,1,0,0,Standard
THE USED,2.5,3,2,0,0,Standard
THE WHITE STRIPES,2.5,3,2,0,0,All types
THEORY OF A DEADMAN,2.5,2,1,1,0,All types
TOAD THE WET SPROCKET,2.5,3,2,0,0,Standard
TRAFFIC,2.5,4,1,0,0,Standard
TRIPPIE REDD,2.5,4,1,0,0,All types
TRU,2.5,2,1,1,0,Standard
TWISTA,2.5,3,2,0,0,All types
TYGA,2.5,3,2,0,0,All types
UNCLE KRACKER,2.5,2,1,1,0,All types
WAYLON JENNINGS & WILLIE NELSON,2.5,2,1,1,0,Standard
WHITE LION,2.5,2,1,1,0,Standard
YG,2.5,4,1,0,0,All types
YOUNG THUG,2.5,4,1,0,0,All types
2 CHAINZ,2,2,2,0,0,All types
21 SAVAGE,2,2,2,0,0,All types
AFI,2,2,2,0,0,Standard
AFTER 7,2,3,1,0,0,Standard
AL HIRT,2,4,0,0,0,Standard
AL STEWART,2,2,2,0,0,Standard
AMY WINEHOUSE,2,1,1,1,0,All types
ANTHONY HAMILTON,2,3,1,0,0,Standard
ART GARFUNKEL,2,3,1,0,0,Standard
ASHFORD & SIMPSON,2,4,0,0,0,Standard
ATLANTA RHYTHM SECTION,2,3,1,0,0,Standard
AVANT,2,3,1,0,0,Standard
B2K,2,3,1,0,0,Standard
BABY EINSTEIN MUSIC BOX ORCHESTRA,2,4,0,0,0,Standard
BEAVIS & BUTT-HEAD,2,1,1,1,0,Standard
BELINDA CARLISLE,2,3,1,0,0,Standard
BENEDICTINE MONKS-SANTO DE SIL,2,1,1,1,0,Standard
BERLIN,2,3,1,0,0,Standard
BIG PUNISHER,2,2,2,0,0,Standard
BILLY DEAN,2,4,0,0,0,Standard
BOB CARLISLE,2,1,1,1,0,All types
BRASS CONSTRUCTION,2,3,1,0,0,Standard
BRIAN SETZER ORCHESTRA,2,1,1,1,0,Standard
BURT BACHARACH,2,4,0,0,0,Standard
CAGE THE ELEPHANT,2,3,1,0,0,All types
CAM'RON,2,3,1,0,0,All types
CAMILA CABELLO,2,2,2,0,0,All types
CHEECH & CHONG,2,4,0,0,0,Standard
CHERRY POPPIN' DADDIES,2,1,1,1,0,Standard
CHRIS LEDOUX,2,3,1,0,0,Standard
CON FUNK SHUN,2,4,0,0,0,Standard
CRASH TEST DUMMIES,2,1,1,1,0,Standard
D'ANGELO,2,2,2,0,0,Standard
DAFT PUNK,2,3,1,0,0,All types
DEATH CAB FOR CUTIE,2,3,1,0,0,All types
DIGITAL UNDERGROUND,2,3,1,0,0,Standard
DJ CLUE,2,3,1,0,0,Standard
DON MC LEAN,2,1,1,1,0,Standard
DON WILLIAMS,2,3,1,0,0,Standard
DONNY & MARIE OSMOND,2,4,0,0,0,Standard
DUA LIPA,2,2,2,0,0,All types
EDDIE RABBITT,2,3,1,0,0,Standard
EDGAR WINTER GROUP,2,1,1,1,0,Standard
EDIE BRICKELL & NEW BOHEMIANS,2,1,1,1,0,Standard
EIFFEL 65,2,1,1,1,0,Standard
ELLA MAI,2,1,1,1,0,All types
EMOTIONS,2,3,1,0,0,Standard
ERIC B. & RAKIM,2,3,1,0,0,Standard
ERIC CLAPTON & B.B. KING,2,1,1,1,0,Standard
FETTY WAP,2,1,1,1,0,All types
FIFTH HARMONY,2,2,2,0,0,All types
FILTER,2,2,2,0,0,Standard
FINE YOUNG CANNIBALS,2,1,1,1,0,Standard
FIVE FOR FIGHTING,2,2,2,0,0,All types
FOSTER THE PEOPLE,2,1,1,1,0,All types
G-UNIT,2,1,1,1,0,Standard
GARY WRIGHT,2,1,1,1,0,Standard
GEORGE CARLIN,2,4,0,0,0,Standard
GETO BOYS,2,3,1,0,0,Standard
GORDON MACRAE,2,1,1,1,0,Standard
GOTYE,2,1,1,1,0,All types
"GROVER WASHINGTON, JR.",2,1,1,1,0,Standard
H.E.R.,2,3,1,0,0,All types
HAROLD MELVIN & THE BLUE NOTES,2,2,2,0,0,Standard
HOLE,2,2,2,0,0,Standard
HUNTER HAYES,2,1,1,1,0,All types
JACI VELASQUEZ,2,3,1,0,0,All types
JAMES BROWN,2,3,1,0,0,Standard
JAY-Z & LINKIN PARK,2,1,1,1,0,All types
JAY-Z & R. KELLY,2,2,2,0,0,Standard
JENNINGS / NELSON / COLTER / GLASER,2,1,1,1,0,Standard
JEREMY CAMP,2,4,0,0,0,All types
JIM BRICKMAN,2,4,0,0,0,Standard
JOE WALSH,2,3,1,0,0,Standard
JOHN BERRY,2,3,1,0,0,Standard
JON BON JOVI,2,1,1,1,0,Standard
JONNY LANG,2,2,2,0,0,Standard
JOSS STONE,2,3,1,0,0,Standard
JUICE NEWTON,2,3,1,0,0,Standard
KACEY MUSGRAVES,2,2,2,0,0,All types
KELLY PRICE,2,2,2,0,0,Standard
KELSEA BALLERINI,2,3,1,0,0,All types
KEM,2,3,1,0,0,Standard
KENNY ROGERS & DOLLY PARTON,2,1,1,1,0,Standard
KRIS KRISTOFFERSON,2,4,0,0,0,Standard
L.T.D.,2,3,1,0,0,Standard
LADY GAGA & BRADLEY COOPER,2,1,1,1,0,All types
LAURA BRANIGAN,2,3,1,0,0,Standard
LAUREN DAIGLE,2,2,2,0,0,All types
LEVERT,2,4,0,0,0,Standard
LIL' FLIP,2,2,2,0,0,All types
LORETTA LYNN,2,4,0,0,0,Standard
LOS LOBOS,2,1,1,1,0,Standard
LOS LONELY BOYS,2,1,1,1,0,All types
LSG,2,1,1,1,0,Standard
LUPE FIASCO,2,4,0,0,0,All types
MANDY MOORE,2,3,1,0,0,All types
MARTY STUART,2,4,0,0,0,Standard
MEGAN THEE STALLION,2,3,1,0,0,All types
MICHAEL CRAWFORD,2,3,1,0,0,Standard
MICKEY MOUSE,2,1,1,1,0,Standard
MINISTRY,2,3,1,0,0,Standard
MODEST MOUSE,2,3,1,0,0,All types
MORMON TABERNACLE CHOIR,2,4,0,0,0,Standard
NATALIE IMBRUGLIA,2,1,1,1,0,Standard
NAV,2,4,0,0,0,All types
NELSON,2,1,1,1,0,Standard
NEW FOUND GLORY,2,3,1,0,0,All types
NEW ORDER,2,3,1,0,0,Standard
OLIVIA NEWTON-JOHN & ELECTRIC LIGHT ORCHESTRA,2,1,1,1,0,Standard
ONEREPUBLIC,2,3,1,0,0,All types
OZZY OSBOURNE & RANDY RHOADS,2,1,1,1,0,Standard
PABLO CRUISE,2,2,2,0,0,Standard
PAUL REVERE & THE RAIDERS,2,4,0,0,0,Standard
PAULA COLE,2,1,1,1,0,Standard
PERRY COMO,2,4,0,0,0,Standard
PLAYBOI CARTI,2,3,1,0,0,All types
PLIES,2,3,1,0,0,All types
PRODIGY,2,1,1,1,0,Standard
PUSSYCAT DOLLS,2,1,1,1,0,All types
RARE EARTH,2,3,1,0,0,Standard
RAY PRICE,2,3,1,0,0,Standard
REAL MC COY,2,1,1,1,0,Standard
RESTLESS HEART,2,4,0,0,0,Standard
RICKIE LEE JONES,2,3,1,0,0,Standard
ROBIN TROWER,2,4,0,0,0,Standard
RODNEY CARRINGTON,2,3,1,0,0,Standard
ROSE ROYCE,2,3,1,0,0,Standard
ROXETTE,2,2,2,0,0,Standard
RUFUS & CHAKA KHAN,2,3,1,0,0,Standard
SANDRA BOYNTON & MICHAEL FORD,2,3,1,0,0,Standard
SCOTTY MCCREERY,2,3,1,0,0,All types
SERGIO MENDES & BRASIL '66,2,4,0,0,0,Standard
SHAI,2,1,1,1,0,Standard
SILKK THE SHOCKER,2,2,2,0,0,Standard
SIMPLY RED,2,3,1,0,0,Standard
SKRILLEX,2,2,2,0,0,All types
SLAYER,2,4,0,0,0,Standard
SPYRO GYRA,2,3,1,0,0,Standard
STRYPER,2,3,1,0,0,Standard
SUM 41,2,3,1,0,0,All types
SURVIVOR,2,2,2,0,0,All types
TERENCE TRENT D'ARBY,2,1,1,1,0,Standard
THA DOGG POUND,2,1,1,1,0,Standard
THE COMMITMENTS,2,1,1,1,0,Standard
THE CORRS,2,3,1,0,0,Standard
THE FOUR SEASONS,2,4,0,0,0,Standard
THE GAME,2,1,1,1,0,All types
THE KID LAROI,2,1,1,1,0,All types
THE KINKS,2,4,0,0,0,Standard
THE LETTERMEN,2,4,0,0,0,Standard
THE MAMAS & THE PAPAS,2,4,0,0,0,Standard
THE OSMONDS,2,4,0,0,0,Standard
THE ROOTS,2,3,1,0,0,Standard
THE SIMPSONS,2,1,1,1,0,Standard
THE TRACTORS,2,1,1,1,0,Standard
TONE LOC,2,1,1,1,0,Standard
TYRESE,2,3,1,0,0,Standard
UGLY KID JOE,2,1,1,1,0,Standard
URIAH HEEP,2,4,0,0,0,Standard
