,Artist ,Certified Units ,,,,
(In Millions),Gold ®,Platinum ®,Multi-Platinum ™,Diamond ®,Type ,
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
WILL SMITH,12,4,2,2,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BONE THUGS 'N HARMONY,11.5,6,5,2,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DISTURBED,11.5,6,5,3,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DON HENLEY,11.5,5,4,2,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DWIGHT YOAKAM,11.5,10,7,2,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ELECTRIC LIGHT ORCHESTRA,11.5,11,4,2,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
GEORGE HARRISON,11.5,9,2,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
PAULA ABDUL,11.5,4,3,2,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
S.R. VAUGHAN & DOUBLE TROUBLE,11.5,7,6,5,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BARRY WHITE,11,12,6,2,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
GRAND FUNK RAILROAD,11,12,6,2,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JENNIFER LOPEZ,11,5,5,3,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JETHRO TULL,11,15,3,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JUSTIN TIMBERLAKE,11,5,5,3,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LAURYN HILL,11,2,2,1,1,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LOVERBOY,11,6,4,4,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
OLIVIA NEWTON-JOHN,11,12,4,3,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SPICE GIRLS,11,2,2,2,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
STEELY DAN,11,12,8,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SYSTEM OF A DOWN,11,5,5,2,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
YANNI,11,9,5,2,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ABBA,10.5,8,3,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ANDY WILLIAMS,10.5,18,3,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BILLY RAY CYRUS,10.5,3,2,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BRANDY,10.5,4,3,2,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BUSH,10.5,4,3,2,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DEPECHE MODE,10.5,11,6,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
FUTURE,10.5,9,6,2,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JOHN LENNON,10.5,11,4,2,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
KIRK FRANKLIN,10.5,9,6,2,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LENNY KRAVITZ,10.5,8,5,3,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MICHAEL W. SMITH,10.5,14,5,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
RICKY MARTIN,10.5,4,3,2,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SCORPIONS,10.5,8,7,2,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
STEVIE NICKS,10.5,8,5,2,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE JUDDS,10.5,11,6,2,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ZAC BROWN BAND,10.5,5,4,2,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ACE OF BASE,10,2,2,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ARETHA FRANKLIN,10,14,4,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BLINK-182,10,6,4,2,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BOBBY BROWN,10,3,3,2,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
"CROSBY, STILLS & NASH",10,4,4,2,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
EVANESCENCE,10,4,2,2,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MASTER P,10,6,4,2,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
NINE INCH NAILS,10,5,3,3,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
PAUL MC CARTNEY & WINGS,10,9,7,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
PETER FRAMPTON,10,4,2,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
PETER GABRIEL,10,7,3,2,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SAVAGE GARDEN,10,2,2,2,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SOUNDGARDEN,10,4,4,2,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE MOODY BLUES,10,14,6,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
TINA TURNER,10,7,5,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
VAN MORRISON,10,8,2,2,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
AIR SUPPLY,9.5,5,4,2,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BLUES TRAVELER,9.5,6,3,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DAVID BOWIE,9.5,14,5,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DEAN MARTIN,9.5,17,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DR. DRE,9.5,3,2,2,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JUDAS PRIEST,9.5,12,5,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MEN AT WORK,9.5,3,2,2,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
RICHARD MARX,9.5,5,4,2,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SUBLIME,9.5,6,3,2,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
TONY BENNETT,9.5,12,5,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
"""WEIRD AL"" YANKOVIC",9,10,6,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ARIANA GRANDE,9,6,6,3,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BREAD,9,8,2,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CHEAP TRICK,9,8,6,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DONNA SUMMER,9,11,3,2,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
GLEN CAMPBELL,9,11,5,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
GODSMACK,9,7,3,2,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JULIO IGLESIAS,9,8,2,2,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
RAGE AGAINST THE MACHINE,9,4,4,3,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
STAIND,9,4,4,2,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
STATLER BROTHERS,9,12,2,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SUGARLAND,9,4,4,3,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
WAYLON JENNINGS,9,8,2,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
YOUNGBOY NEVER BROKE AGAIN,9,10,6,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ALLMAN BROTHERS,8.5,11,4,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BABYFACE,8.5,4,3,3,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BOZ SCAGGS,8.5,5,4,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BRAD PAISLEY,8.5,8,5,2,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CARLY SIMON,8.5,8,5,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CYNDI LAUPER,8.5,3,2,2,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ERIC CHURCH,8.5,6,5,2,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JA RULE,8.5,5,4,2,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MARY CHAPIN CARPENTER,8.5,6,3,2,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MIRANDA LAMBERT,8.5,7,6,2,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
PANIC! AT THE DISCO,8.5,6,5,2,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE CURE,8.5,8,5,2,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
TOO SHORT,8.5,9,6,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
TOTO,8.5,6,3,2,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
TRANS-SIBERIAN ORCHESTRA,8.5,5,4,3,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
WU-TANG CLAN,8.5,4,3,2,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
"10,000 MANIACS",8,4,4,3,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ALICE COOPER,8,9,7,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CYPRESS HILL,8,6,4,2,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DAUGHTRY,8,4,2,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ENRIQUE IGLESIAS,8,8,4,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
GEORGE BENSON,8,8,4,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
GOO GOO DOLLS,8,4,2,2,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ICE CUBE,8,9,5,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
J. COLE,8,5,5,2,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JEFF FOXWORTHY,8,5,3,2,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LADY A,8,5,3,2,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
NICKI MINAJ,8,4,4,3,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
"PETER, PAUL & MARY",8,9,3,2,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
RATT,8,6,4,2,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SALT 'N PEPA,8,5,3,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SAM SMITH,8,3,3,2,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SLY & THE FAMILY STONE,8,5,3,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
TANYA TUCKER,8,12,4,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
TEARS FOR FEARS,8,5,3,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THREE DOG NIGHT,8,14,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
TWENTY ONE PILOTS,8,3,3,2,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
98 DEGREES,7.5,4,3,2,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
AMERICA,7.5,6,3,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BARENAKED LADIES,7.5,6,3,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BILL COSBY,7.5,9,6,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
"BLOOD, SWEAT & TEARS",7.5,5,2,2,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BRIAN MC KNIGHT,7.5,6,3,2,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
COLLECTIVE SOUL,7.5,5,4,2,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DEEP PURPLE,7.5,9,4,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DOLLY PARTON,7.5,11,4,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ENIGMA,7.5,4,3,2,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
GEORGE JONES,7.5,10,3,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JEFFERSON STARSHIP,7.5,10,3,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
KENDRICK LAMAR,7.5,4,3,2,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
KENNY LOGGINS,7.5,10,5,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
KOOL & THE GANG,7.5,9,4,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
NEW EDITION,7.5,5,4,3,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
RAY CHARLES,7.5,8,3,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
RAY CONNIFF,7.5,11,4,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SHAGGY,7.5,3,2,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
STEVE WINWOOD,7.5,5,4,2,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SUSAN BOYLE,7.5,3,2,2,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE BLACK CROWES,7.5,3,2,2,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE TALKING HEADS,7.5,8,3,2,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
TORI AMOS,7.5,6,5,2,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
TRACE ADKINS,7.5,8,5,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
VANILLA ICE,7.5,2,1,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
WHAM!,7.5,3,2,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
WYNONNA JUDD,7.5,4,3,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
311,7,7,3,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
AALIYAH,7,4,4,3,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
AKON,7,2,2,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CASTING CROWNS,7,7,5,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CHRIS STAPLETON,7,4,4,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CINDERELLA,7,3,3,2,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
FOO FIGHTERS,7,7,7,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
FUGEES,7,1,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
GEORGE WINSTON,7,7,3,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
HANSON,7,5,3,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JONI MITCHELL,7,9,3,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JUICE WRLD,7,3,3,3,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JUVENILE,7,5,3,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LOGGINS & MESSINA,7,7,5,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MILES DAVIS,7,3,3,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MISSY ELLIOTT,7,6,6,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MONICA,7,4,2,2,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
O'JAYS,7,10,4,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
P. DIDDY & THE FAMILY,7,1,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
PANTERA,7,7,5,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
QUIET RIOT,7,2,2,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
RADIOHEAD,7,8,4,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
RICKY VAN SHELTON,7,9,5,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SELENA,7,5,3,2,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SHAKIRA,7,5,5,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SKID ROW,7,2,2,2,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SUPERTRAMP,7,6,2,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
T.I.,7,7,5,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE BLACK EYED PEAS,7,3,3,3,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THIRD EYE BLIND,7,2,2,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
TRACY LAWRENCE,7,6,4,2,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
TRAIN,7,5,5,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
XXXTENTACION,7,4,2,2,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ALISON KRAUSS,6.5,7,2,2,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
B-52'S,6.5,5,2,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BILLY IDOL,6.5,6,5,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BING CROSBY,6.5,3,2,2,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CEDARMONT KIDS,6.5,8,5,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ENGELBERT HUMPERDINCK,6.5,10,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ERYKAH BADU,6.5,4,3,2,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
EURYTHMICS,6.5,6,3,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
GLORIA ESTEFAN & MIAMI SOUND,6.5,3,2,2,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
H. ALPERT & THE TIJUANA BRASS,6.5,13,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
INDIGO GIRLS,6.5,7,4,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
IRON MAIDEN,6.5,8,5,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JESSICA SIMPSON,6.5,5,2,2,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LONESTAR,6.5,6,3,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LORRIE MORGAN,6.5,7,4,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MARVIN GAYE,6.5,6,3,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MEGADETH,6.5,6,5,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MERCYME,6.5,8,1,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MILLI VANILLI,6.5,2,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MY CHEMICAL ROMANCE,6.5,3,2,2,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
NATALIE MERCHANT,6.5,3,2,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
OAK RIDGE BOYS,6.5,8,3,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ROBERT PLANT,6.5,6,3,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
TESLA,6.5,6,5,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
WEEZER,6.5,5,4,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
AL GREEN,6,8,2,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BECK,6,8,2,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BILLY OCEAN,6,4,4,2,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BILLY SQUIER,6,3,3,2,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BUSTA RHYMES,6,7,5,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CULTURE CLUB,6,3,3,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DIDO,6,2,2,2,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
FALL OUT BOY,6,6,4,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
FOGHAT,6,8,2,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
GORDON LIGHTFOOT,6,7,3,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
GRETCHEN WILSON,6,2,2,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
GWEN STEFANI,6,2,2,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
HALSEY,6,3,3,3,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
HELEN REDDY,6,8,2,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
HILARY DUFF,6,5,3,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
INCUBUS,6,5,3,2,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JODECI,6,3,3,2,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JOHN LEGEND,6,4,4,2,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
KHALID,6,2,2,2,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LIL BABY,6,4,2,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MUMFORD & SONS,6,3,3,2,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
OASIS,6,3,3,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
PARAMORE,6,5,3,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
PATTY LOVELESS,6,8,4,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
PITBULL,6,5,3,2,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
POINTER SISTERS,6,6,2,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
QUEENSRYCHE,6,5,3,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ROBERTA FLACK,6,7,3,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
RONNIE MILSAP,6,8,2,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
RUN-D.M.C.,6,5,3,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SEAL,6,4,2,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SEALS & CROFTS,6,6,2,2,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SISQO,6,2,2,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SLIPKNOT,6,6,4,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SPIN DOCTORS,6,2,2,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
STEVEN CURTIS CHAPMAN,6,10,2,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
TEDDY PENDERGRASS,6,8,4,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
